Designator,Mid X,Mid Y,Rotation,Layer
C1,46.4,29.7,270.0,top
C10,43.45,39.215,90.0,top
C11,48.45,39.215,90.0,top
C12,45.95,38.515,0.0,top
C13,25.5,32.0,270.0,top
C2,46.446745,33.020564,0.0,top
C3,44.2,33.1,180.0,top
C4,53.15,28.1,270.0,top
C5,48.45,32.3,270.0,top
C7,54.05,41.5,0.0,top
C8,23.7,38.0,90.0,top
C9,51.55,41.0,180.0,top
D1,54.847638,28.6,225.0,top
J4,35.05,33.62,0.0,bottom
J5,53.39,35.0,90.0,top
L2,45.95,35.915,0.0,top
R14,47.750001,42.415,0.0,top
R15,44.15,42.415,0.0,top
R2,51.55,42.0,180.0,top
R4,45.95,42.415,0.0,top
R5,51.85,28.1,270.0,top
R6,50.95,28.1,90.0,top
U1,24.55,40.715,90.0,top
U2,24.55,29.285,270.0,top
U6,35.0,35.0,0.0,top
U7,45.95,40.515,0.0,top
