Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
"C10, C11, C12, C14, C15, C16, C17, C18, C2, C6",C_0402,10,100nF,
"C13, C7, C8",C_0402,3,10uF,C15525
C3,C_0603,1,22uF,
C4,C_0805,1,100uF,C141660
C5,C_0603,1,10uF 35V,C194427
C9,C_0402,1,1uF,
"D1, D3",DFN1006-2L,2,~,C5137770
D2,D_SOD-123,1,MBR0530,
"D4, D5, D6, D7, D8, D9",SMD1010,6,XL-1010RGBC-WS2812B,C5349953
J2,1.25T-2PWT (Molex 532610271),1,Battery,C177225
J5,USB-C-Socket-H,1,USB-C-Socket-H,C709357
LS1,Speaker_CUI_CMR-1206S-67,1,Speaker,C41349499
Q1,SOT-23,1,CJ2301,C5224170
"R1, R2, R3",R_0402,3,10K,
"R5, R6",R_0402,2,5K1,
R8,R_0402,1,634K,
SW2,TS-1092S-B3D2-G,1,SW_Push,
U2,WLP-1.437mmx1.347mm-0.21mm-ball,1,MAX98357A,
U3,SOT-23-5,1,TP4054,C668215
U4,SOT-23-5,1,ME6211C33M5G-N,C82942
U5,ICS43434_MEMS_Mic_Open,1,L,C5656610
U6,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U7,ICS43434_MEMS_Mic_Open,1,R,C5656610
