Designator,Mid X,Mid Y,Rotation,Layer
C1,20.5,10.1,90.0,top
C10,38.0,31.2,270.0,top
C11,46.0,11.6,180.0,top
C12,14.0,11.5,180.0,top
C13,33.1,29.1,90.0,top
C14,32.2,29.1,90.0,top
C15,46.1,28.6,180.0,top
C16,35.0,32.6,0.0,top
C17,15.4,30.0,270.0,top
C18,25.0,32.1,0.0,top
C2,17.2,11.3,180.0,top
C3,49.295763,12.5,180.0,top
C4,49.9,14.1,0.0,top
C5,35.770763,11.9,270.0,top
C6,18.0,31.1,270.0,top
C7,17.2,12.3,180.0,top
C8,17.2,10.3,180.0,top
C9,16.7,30.2,90.0,top
D1,41.872608,12.438366,199.0,top
D2,50.1,23.7,180.0,top
D3,33.6,32.075,90.0,top
D4,46.0,10.0,0.0,top
D5,46.0,30.0,270.0,top
D6,25.0,34.0,180.0,top
D7,14.0,30.0,0.0,top
D8,35.0,34.0,180.0,top
D9,14.0,10.0,0.0,top
J1,29.970763,30.65,0.0,bottom
J2,39.755044,10.812637,199.0,top
J5,29.970763,9.27,0.0,top
LS1,40.970763,21.0,90.0,top
Q1,49.55,26.3375,270.0,top
R1,48.7,18.9,0.0,top
R2,16.8,29.0,180.0,top
R3,48.5,21.7,270.0,top
R4,32.0,18.5,180.0,top
R5,35.2,7.3,270.0,top
R6,35.2,9.4,270.0,top
R8,30.9,27.8,180.0,top
SW2,29.970763,33.5,0.0,top
U2,33.070763,26.4,180.0,top
U3,51.1,21.0,0.0,top
U4,50.0,16.8,90.0,top
U5,20.0,32.0,90.0,top
U6,21.820763,20.65,90.0,top
U7,40.0,32.0,90.0,top
