Designator,Mid X,Mid Y,Rotation,Layer
C1,34.5,27.535,270.0,top
C10,43.45,39.215,90.0,top
C11,48.45,39.215,90.0,top
C12,45.95,38.515,0.0,top
C15,22.4,38.4,180.0,top
C2,46.446745,33.020564,0.0,top
C3,44.2,33.1,180.0,top
C5,48.75,33.0,180.0,top
C7,26.35,38.8,270.0,top
C8,48.0,43.5,0.0,top
C9,23.2,39.3,180.0,top
D1,22.0,36.7,45.0,top
D2,21.5,39.3,180.0,top
D3,49.0,25.075,90.0,top
D4,47.0,25.0,90.0,top
D5,32.425,23.5,0.0,top
J1,35.0,39.5,0.0,bottom
J2,20.05,46.0,0.0,top
J4,49.6,48.5,180.0,top
J5,53.39,35.0,90.0,top
J6,20.05,31.5,0.0,top
J7,20.0,23.5,0.0,top
L2,45.95,35.915,0.0,top
R1,28.75,30.4,0.0,top
R10,30.5,29.5,0.0,top
R14,47.750001,42.415,0.0,top
R15,44.15,42.415,0.0,top
R2,25.0,39.3,180.0,top
R3,30.5,30.4,0.0,top
R4,45.95,42.415,0.0,top
R5,48.1,31.0,90.0,top
R6,49.0,31.0,270.0,top
R7,19.3,37.55,0.0,top
SW1,43.0,26.5,0.0,top
SW2,41.0,21.5,0.0,top
SW3,53.0,26.5,180.0,top
U1,54.289,42.5,0.0,top
U3,16.05,37.75,270.0,top
U4,25.0,37.3,0.0,top
U6,35.0,39.5,0.0,top
U7,45.95,40.515,0.0,top
U8,29.0,24.5,0.0,top
U9,55.0,21.5,90.0,top
