Designator,Mid X,Mid Y,Rotation,Layer
C1,46.4,31.5,270.0,top
C10,53.5,41.9,180.0,top
C11,49.2,33.5,270.0,top
C12,46.3,26.1,270.0,top
C13,24.5,34.4,0.0,bottom
C14,47.8,26.2,0.0,top
C16,44.05,42.8,90.0,top
C2,43.5,36.1,270.0,top
C3,44.9,34.5,180.0,top
C4,42.3,26.0,90.0,top
C5,24.0,31.0,270.0,top
C6,24.0,39.0,270.0,top
C7,44.7,38.3,90.0,top
C8,24.5,37.3,0.0,bottom
C9,43.625,39.06,270.0,top
D1,48.2,27.6,180.0,top
D2,45.5,36.7,0.0,top
D3,52.2,43.6,0.0,top
D4,26.3,39.0,0.0,top
D5,26.3,31.0,90.0,top
D6,56.1,43.2,45.0,top
J1,53.509,30.1,180.0,top
J4,35.05,36.695,0.0,bottom
J5,53.19,36.8,90.0,top
Q2,47.3,35.7,0.0,top
R1,48.45,40.9,180.0,top
R10,31.6,26.2,90.0,top
R11,30.75,26.2,90.0,top
R12,29.9,26.2,90.0,top
R13,29.05,26.2,90.0,top
R14,31.2,42.3,180.0,bottom
R2,43.736837,40.63,180.0,top
R3,33.3,26.2,90.0,top
R4,46.4,28.3,0.0,top
R5,51.5,31.3,0.0,top
R6,55.7,31.3,0.0,top
R7,48.9,35.7,0.0,top
R8,48.6,30.2,270.0,top
R9,32.45,26.2,90.0,top
SW1,25.0,35.0,270.0,top
U1,24.444921,40.444921,135.0,bottom
U2,24.444921,29.555079,225.0,bottom
U3,47.2,38.8,180.0,top
U4,46.8,43.2,90.0,top
U5,44.5,27.7,90.0,top
U6,35.0,35.0,0.0,top
